,nickname,text,score,like,dislike,time,watch_movie
1280,또루링띵(kjyb****),초반에는 그냥 그저 볼만하고 중간쯤에는 진짜 지루함 후반에는 재미있었음..근데 전반적으로 내용이 뻔하면서 스토리가 별로 없네요 그래도 이정도의 영화면 잘 만들었다고 생각합니다.캐릭터들이 옛날거라서 그런지 성인용보다는...,6,0,0,2013-01-02 02:34:00,0
1281,vand****,볼거리가 있는 영화~ 이걸 영화로 만들었다는 것에 박수를 보낸다,8,0,0,2013-01-01 01:31:00,0
1282,하벼리(lmsd****),"난 정말 난장판일 줄 알았걸랑? 긍데 어제 보고 온 레미제라블 보다 더 깔끔함ㅎ 하나같이 다 멋있고, 액션도, 스토리도 적절 분할되었달까, 진짜 엉망진창같은 느낌은 있을 줄 알았딴 말이지, 긍데 좋았음 긍데 다시 보...",9,0,0,2012-12-31 11:59:00,0
1283,myeo****,오랜만에 정말 스펙타클한 영화를 봐서 그런지 눈이 즐거웠다 좋아좋아,9,0,0,2012-12-30 23:09:00,0
1284,oblivion1(shki****),화려함이 과해 정신이 없을 정도. 그럼에도 이런 류의 영화는 보는 재미는 있다.,7,0,0,2012-12-30 15:05:00,0
1285,wy03****,처음엔 너무 지루했다ㅠㅠ 중간에 그만 볼까 하다가 이왕 보기 시작한거 그냥 끝까지 보자 해서 봤는데 끝부분 꽤 재밌었음 ㅋㅋ 전투장면 굳굳 박진감 대박이네요 ㅋㅋ,7,0,0,2012-12-29 18:11:00,0
1286,ooPs(hjs3****),올해 가장 흥행한 영화답다.. 이걸 왜 영화관에서 안봤을까 ㅠㅠ 그야말로 그냥 대박.. 완전 대박 ㅋㅋ2시간20분동안 엔딩크레딧까지 완전 집중하면서 봤다.. 어벤져스에 나오는 인물들 각각의 영화 후속편들 모조리 다 ...,10,0,0,2012-12-29 16:22:00,0
1287,5478****,다 재밌는데 대표 포스터가 마음에 안듬,9,0,0,2012-12-29 16:15:00,0
1288,kkmj****,짱재미있어요,10,0,0,2012-12-29 07:38:00,0
1289,풍사(ange****),"디지털상영(성신여대), 아이맥스3d(용산), 아이맥스3d(왕십리) 세번봤는데 앞으로 아이맥스3d는 왕십리만 갈거임. 몇번을 봐도 재밌었어요. ㅋ",10,0,0,2012-12-28 11:10:00,0
1290,장발(john****),기분 좋게 팀플 해놓고 시빌워는 대체 모임ㅋㅋ,10,0,0,2012-12-28 00:16:00,0
1291,maxi****,"만화를 영화화 했는데 스토리도 탄탄하고, 영상미도 압권이다.  성공한 블록버스터 랄까.",9,0,0,2012-12-27 10:07:00,0
1292,파란(wjdg****),음.. 재밌었어^ ^ 헐크가 대박이였지.. 좀 지루한 부분도 없지 않아 있었지만..,10,0,0,2012-12-27 00:26:00,0
1293,필라델피아(wooh****),그냥 미국영화.,7,0,0,2012-12-26 16:55:00,0
1294,paul****,재밌네요. 평이 극과극인듯,9,0,0,2012-12-25 20:23:00,0
1295,딸기프림(ddar****),시빌워는 ㅠㅠㅠ,9,0,0,2012-12-25 16:40:00,0
1296,gaen****,처음으로 평점 등록하는 영화. 슈퍼히어로는 정말있을까???,10,0,0,2012-12-25 06:42:00,0
1297,kuks****,재밌네요 시간 가는 줄 모르고 봤습니다. 확실히 화면이 화려하게 채워져서 지루할 틈이 없네요. 스케일이 시원시원하니 딱 재밌는 오락영화!,10,0,0,2012-12-25 03:03:00,0
1298,heim****,생각보다는....,8,0,0,2012-12-24 21:22:00,0
1299,레굴루스(regu****),사공이 많다고 다 좋은 점은 아닌 법.. 눈요기 거리는 뭐 되지만,5,0,0,2012-12-24 12:30:00,0
1300,cksg****,초반은 지루하다가 후반은 재밌네,10,0,0,2012-12-23 19:32:00,0
1301,봉드리치(paul****),마블코믹스의 광팬으로써 이정도면 잘 만든겁니다. 자이언트맨과 스파이더맨 울버린 등 안나와서 좀 아쉽긴 하지만 그래도 볼만합니다.,10,0,0,2012-12-23 12:59:00,0
1302,ssyw****,뻔한 스토리 구성이지만 영웅들의 조화로운 활약이 재미를 극대화!!! 이런 저런 첨단 무기보다 그냥 헐크가 짱인듯.......ㅎㅎ,9,0,0,2012-12-23 07:28:00,0
1303,종달새(nata****),헐크.퍼스트보단 재밌고 토르랑 아이언맨보단 조금 지루해요..히어로들 모을려다보니까 초반에 스토리가 늘어지는 느낌?? 그래도 톰 히들스턴 땜에 10점준다=_=..원래는 8-9점쯤 되겠네요..,10,0,0,2012-12-22 23:57:00,0
1304,아프로디테(venu****),반쯤 넘어가면서 재밌던데~~이영화도 2번이나봄.~ㅠㅠ 난 여자인데두 왜이렇게 액션영화가 좋지...넘재밋다~어벤져스~~,10,0,0,2012-12-22 20:34:00,0
1305,zeda****,지구는 미국 영웅들이 지킨다 극장에서 생각없이 보기 좋은영화,8,0,0,2012-12-22 13:02:00,0
1306,mole****,초반에 지루한 감이 조금 있었지만 중후반부턴 몰입도 짱! 로버트 미중년ㅜㅠ,9,0,0,2012-12-21 10:16:00,0
1307,ther****,티격태격해도 팀웍만큼은 최고,7,0,0,2012-12-21 00:13:00,0
1308,orhs****,우와진짜 너무 재밋어요^^,10,0,0,2012-12-20 22:51:00,0
1309,MZ(sim_****),실감나는 그래픽 액션 그러나 미국 만세,6,0,0,2012-12-20 17:11:00,0
1310,양승렬(winn****),볼거리만 풍성해도 이미 극장료는 아깝지 않다,10,0,0,2012-12-20 09:45:00,0
1311,rngk****,조잡할줄알았는데 꽤 재미있고 흥미진진함. 중간중간 깨알같은 재미도있고ㅋ헐크대박임.,9,0,0,2012-12-19 13:15:00,0
1312,윤라인(dbst****),이게 영화지 말이 필요없다...,10,0,0,2012-12-19 05:30:00,0
1313,Jansen(tjsn****),제작비만 많이 들어갔다뿐이지 젠틀맨리그와 다를바 없는 수준...,3,0,0,2012-12-18 01:59:00,0
1314,clou****,오락성 최고,9,0,0,2012-12-17 23:28:00,0
1315,pdmj****,재밌어요 ㅠㅠ 전 지금에서야 보네요ㅋㅋ 평좋은거 몰아서 봤는데어벤져스 b b,10,0,0,2012-12-16 20:56:00,0
1316,대인기피증(soco****),"재미없다는 새끼들말 믿지마라 재밌다 진짜 재밌다(단 아이언맨1,2만은 꼭 보고봐라 나머지는 어떤애들인지만 알고보면됨)",10,0,0,2012-12-16 20:54:00,0
