,nickname,text,score,like,dislike,time,watch_movie
4885,변화중(gama****),최종 정리편..어벤져스에게 박수를..,10,2,0,2019-04-24 19:57:00,0
4886,은진(dmsw****),사랑해요 마블 사랑해요 어벤져스,10,2,0,2019-04-24 19:56:00,관람객
4887,윤정(yyj8****),진짜 내 인생에서 최고의 영화다 완벽하다,10,2,0,2019-04-24 19:56:00,0
4888,아0708시즌이여(ekzm****),진심오졋다 돈이랑 3시간이 아깝지않앗다,10,2,0,2019-04-24 19:56:00,0
4889,PROJECT(dyki****),사랑합니다 하워드....,10,2,0,2019-04-24 19:55:00,0
4890,에클레시아(kkre****),우와.... 걍 대박 ㅋㅋ마지막 부슨 완전 대박,10,2,0,2019-04-24 19:55:00,0
4891,박지웅(smar****),말도안되게 최고...,10,2,0,2019-04-24 19:55:00,관람객
4892,천원김밥(tjsg****),마블을 다본사람은 좋아할수밖에없음,10,2,0,2019-04-24 19:54:00,관람객
4893,tmdr****,역시 어벤져스! 재밌어요,10,2,0,2019-04-24 19:54:00,관람객
4894,ㅋㅎㅎ(jyh9****),최고입니다정말로.!,10,2,0,2019-04-24 19:54:00,0
4895,서승원(seeo****),손오반이 셀 죽이고 평화가 찾아온 시티사탄 에피소드를 보는듯한 느낌...이거 SF물인데... 마지막이라 아주 시리어스함,8,2,0,2019-04-24 19:52:00,0
4896,sunn****,Avengers Assemble!,10,2,0,2019-04-24 19:51:00,0
4897,쭈글(yyj8****),걍 한마디로 마블의 끝판왕ㄷㄷㄷ,10,2,0,2019-04-24 19:46:00,0
4898,정청명(wjdc****),"정말 역대급이네요 그리고너무슬픔,,",10,2,0,2019-04-24 19:45:00,0
4899,이동건(dhy7****),꼭 보세요! 볼 가치가 차고 흘러 넘칩니다 Avengers Assemble!!!,10,2,0,2019-04-24 19:45:00,0
4900,제라진캐스트(cndm****),어벤져스 전편을 추억하며 집대성한듯한 느낌의 영화. 나이가 들어가나. 가슴이 찡한 씬도 좀 있었고 개인적으로 만족하며 봤네요. 끝나서 아쉽고 배우들도 아쉬울듯. 고생하셨습니다.,10,2,0,2019-04-24 19:45:00,0
4901,채달달(chae****),내 인생 역대급 영화최고다 진짜 이 한편을 위한 큰 그림을 그려온MCU 무엇우리 같이 모두 핫토이 피규어 지르러 가죠!,10,2,0,2019-04-24 19:44:00,0
4902,NMR(gkh3****),하일 하이드라ㅋㅋㅋ빵터짐,10,2,0,2019-04-24 19:44:00,관람객
4903,ㅋㅅㅋ(jjjj****),나만 그런가.. 너무 우울하다,10,2,0,2019-04-24 19:41:00,0
4904,XD(khkj****),몬가 보면서 눈물날것같은 포인트가 좀많았어요ㅠㅠ 재밌게 잘봤습니다,10,2,0,2019-04-24 19:41:00,관람객
4905,ㅡ드드듣(sdk5****),이 엔드게임을 그렇게 해석한 박지훈 당신은..,10,2,0,2019-04-24 19:41:00,0
4906,dack4454(dack****),엉덩이땀나면서봄 ㅎㅎ,8,2,0,2019-04-24 19:41:00,관람객
