,nickname,text,score,like,dislike,time,watch_movie
254,ㅇㅇㅋ(kth2****),역시나 옳은 선택이였습니다 ㅋ,10,10,3,2015-04-23 19:06:00,0
255,쵸파(rlag****),영화관 마블충 극혐 인피니트스톤이고 히든영상이고 뭐만나오면 나왓다고 아는척오지네 ㄷㄷ,10,10,3,2015-04-23 13:35:00,0
256,alas****,"매번 똑같은 미국의 영웅주의 히어로물(내용이 밑도 끝도 없음. ),,팀원의 반대에도  캡틴은 소수의 희생을 용납하지 않으며, 한두명의 영웅이 죽지만  일반인의 희생없이 적을 물리친다. 그러나 결국 새로운 악당이 나타...",1,11,4,2015-05-13 17:05:00,0
257,rgyn****,지루 스토리 없는 완전실망 ㅠ,1,11,4,2015-05-10 12:46:00,관람객
258,감사사랑(puri****),길고 지루하네요 강비추,1,11,4,2015-05-07 21:38:00,0
259,골드맨(1293****),그냥 진심 씹노잼이었다 폼만 잡다 끝나네,1,11,4,2015-05-07 21:00:00,0
260,Ronaldo(jyh6****),"억지작렬 개연성 제로 다 때려부수기식 스토리구성,수현 발연기,3류코미디급 유머가 이루어낸 마블의 블록버스터급 파워레인져",1,11,4,2015-05-05 00:03:00,0
261,sang****,친구가 스포함....,1,11,4,2015-05-04 11:40:00,0
262,번트홈런(dada****),스타크가 싸지른 똥에 엄한 시민들만 허우적대다가 똥을 닦아내자 아무런 일 없다는듯 영웅되는..  하지만 사방에 묻은 똥들.. 이해되지도 이해하고싶지도 않은 스토리,1,11,4,2015-05-02 18:52:00,0
263,kkqoqo(flyh****),노잼 할말도없다.. 진심이다,1,11,4,2015-05-02 16:47:00,0
264,Alue(wjsw****),"하?! 도데체 왜 이런 영화가 성화인지 납득이 안 갑니다. 개연성 없는 스토리에 액션신은 무의미하게 변모하고, 유아층을 대상으로 하는게 아닌지 의심스러운 이상한 전개입니다. 한국 촬영은 무슨 제 3국으로 표현되고, ...",1,11,4,2015-05-02 08:15:00,0
265,gmy2****,스케일은 컸다 .스칼렛 요한슨은 이뻤다 .,6,11,4,2015-04-29 19:58:00,0
266,떡냠냠꼬기냠냠(bana****),심오한 작품이였어요. 여태까지 단순히 웃고떠들던 시리즈들과는 다르게 진지했네요,10,11,4,2015-04-23 19:51:00,관람객
267,bloo****,죨 재미없음.. 보다가 잤음..,1,12,5,2015-05-05 23:41:00,0
268,멸치볶음(noma****),히어로들이 악당과 싸우는 동안에 난 졸음과 싸웠어...,1,12,5,2015-05-05 11:13:00,0
269,헤븐즈(yiys****),스토리 최악 각 캐릭터성 일부 최악 뜬금 진행 뭐야 이거,1,12,5,2015-05-01 17:49:00,관람객
270,suhyeon(suhy****),나오자마자 또 보고싶어지는 상반기 최고의영화!!,10,12,5,2015-04-25 07:10:00,관람객
271,돈한푼만(7tra****),믿힌놈들아 마블에서 알바쓰면 워너브라더스도 알바 쓰겠넼ㅋ늬들이 좋아하는 알바쓰는 장수상회나 보세욬,10,12,5,2015-04-24 13:36:00,0
272,길(kait****),그냥 말 다 필요없고 예매하십쇼,10,12,5,2015-04-23 20:16:00,0
273,daek****,좋은 재료로 평범한 음식을 만든 감독을 내칩시다!!!!,6,12,5,2015-04-23 18:02:00,0
274,kdm7****,"구로 CGV 조조보고 왔습니다. 정말 꿀잼잼잼!  1편보다 액션 훨씬 화려합니다. 서울신도 비중있고 좋구요, 이전 시사회 평론가 리뷰가 너무 깍아내리려 쓴거 아닌가 합니다. 액션영화는 액션으로 평해야죠. 헐크와 헐크...",9,12,5,2015-04-23 13:57:00,0
275,두발(tttc****),솔직히별로였음 .. 어벤져스는 캐릭터가많은게 장점이작단점인데 패싸움만하고 울트론은오ㅔ케약한지 ㅉㅉ,6,13,6,2015-04-23 17:43:00,0
276,청운의꿈(soja****),이렇게 지루한 액션은 처음이다. 사공이 많으면 배가 산으로 간다는 속담이 틀린게 아니군.,1,15,8,2015-04-27 11:56:00,0
277,유천독재(kill****),평론가 미쳤냐? 그리고 여기 재미없다는 사람들이 재밌게 본 영화가궁금하네 개인적으로 1편은 좀 유치했는데 2편은 액션. 동료들의 유대감. 스토리. 그리고 어벤져스라는 팀이 더욱 돋보였다. 대박임 ㅋㅋ 심오한 스토리라...,10,15,8,2015-04-24 09:57:00,0
278,시유(nrzr****),음량이 너무 커서 불쾌할정도로 내내 귀가 아팠어요. 개연성도 없고 산만하고.. 지루해서 잠들기까지 했네요ㅠㅠ 하도 주변에서 어벤져스 어벤져스 하길래 기대하고 봤는데도.,1,16,9,2015-04-25 16:41:00,0
279,VICIOUS(ohmn****),이건 뭐.. 전작 빌미로 깎아 내리려고 눈을 씻고 봐도 깔 데가 없네,10,17,10,2015-04-23 19:40:00,0
280,와황(gbwl****),1탄에 비해 진짜 한 4배는 재밌어진듯,10,33,26,2015-04-23 15:22:00,0
281,yana****,무난하다고 본다...,7,6,0,2019-09-16 10:17:00,0
282,쿵쿵뿜뿜(love****),1보다 못하지만 cg는 대박,8,6,0,2019-08-24 23:06:00,0
283,망고(sks9****),완전재밌는데? 엔드게임보고 오니 대박...,10,6,0,2019-05-06 13:43:00,0
