,nickname,text,score,like,dislike,time,watch_movie
65,초록거미(whtj****),박지훈이 번역하는동안은 난 계속 1점줄란다닥터스트레인지의 역대급 한마디를 난 오해하고 봤다는게 개빡친다. 비장의 한수를 뒀던 닥스가 희대의 씹트롤러가됐다. 박지훈 짤라라.,1,1053,38,2018-04-26 01:11:00,관람객
66,다치코마(an23****),욕쟁이 닉퓨리를 효자로 만들어 버렸다.,10,1033,25,2018-04-25 14:34:00,0
67,포이부스(abck****),쿠키에서 닉퓨리가 캡틴마블 부른거 맞죠?,9,1088,83,2018-04-25 11:39:00,0
68,Soulchild(tash****),"헐크, Dr. 타노스 만나고 분노조절장애 완치.",10,1016,15,2018-04-26 03:43:00,0
69,양재준(jun_****),타노스 왠지모르게 외로워보인다.,10,967,22,2018-04-25 11:30:00,0
70,내일모래(hich****),토르만 속시원한 영화 .. 혼자 하고싶은거 다함,10,955,12,2018-04-25 19:18:00,0
71,ks0052(yks0****),닥스형 .. 도르마무 내가왔다 라고 무한반복했었자나...이번에도 주문걸어놨지? 그치? 단지 반복 주기가 1년인거지?ㅠ,10,963,23,2018-04-25 13:52:00,0
72,힐러(hela****),다 필요없고 사춘기 그루트 존나귀엽지않음?,10,936,12,2018-04-26 22:44:00,0
73,sang****,이걸볼수있는 세상에 태어나서 참 감사하다 ..,10,950,44,2018-04-25 09:37:00,0
74,나빠(guys****),그냥충격. 근데 타노스 마음이 조금 이해간다 왜지?,10,929,62,2018-04-25 11:08:00,0
75,스마일(gnk5****),이전까지 봤던 어밴져스와 분위기가 사뭇 다르다.모든 것이 닥터 스트레인지가 말한 단 한번의 승리의 일부이길...,8,877,19,2018-04-25 11:41:00,0
76,next****,사실 타노스 그는 주인공 이였다....,10,868,31,2018-04-25 12:30:00,0
77,innerglow(ayaa****),쿠키까지 기다렸으나 멘붕으로 나옴,10,811,24,2018-04-25 11:07:00,관람객
78,세기의걸작히오스(davi****),번역한분 다른직업 찾아보자,10,780,17,2018-04-25 16:27:00,0
79,삼류작가(dama****),이 영화는 진짜 미친 영화다 영화 크레딧이 올라갔을 때 모든 사람들이 일관적으로 입을 벌리고 멍을 때리고 있었다 영화 자체로도 먹먹하고  절망적이지만 어떻게 2019년을 기다려야 하는지가 더 크다,10,783,23,2018-04-25 14:54:00,0
80,daughtry(mayb****),소문난 잔치가 고구마 잔치였고 그 고구마만으로 관객을 충격의 도가니로 빠트리는 마블 당신들은 도덕책..,9,766,44,2018-04-25 12:07:00,0
81,Qush(tmxh****),"이 영화를 보기 위해 필요한 것은음료도, 팝콘도, 과자도 아닌 우황청심환이다.",10,732,28,2018-04-25 12:32:00,관람객
