,nickname,text,score,like,dislike,time,watch_movie
182,테리옹(dhwn****),"히어로 물을 다 좋아하는데 DC는 확실히 마블에 비해 후한 평가를 받는거 같다. 실제로는 3점 짜리 영화. 맨 오브 스틸보단 약간 별로고 배댓슈 수어사이드보단 훨씬 나음, 평점보고 영화보려는 사람들 참고하길...",1,19,7,2017-06-03 11:44:00,0
183,안녕(kooo****),영화 대박 스케일쩔고 캐릭터 매력터짐 ㅠㅠ,10,20,8,2017-06-01 09:01:00,관람객
184,seok****,알바 적당히들해라 한국영화랑 겹쳐개봉한다고 역시나 몰려들오네 ㅋㅋㅋㅋ 일베같은 놈들,10,20,8,2017-05-31 21:39:00,0
185,micr****,갤가돗보고 눈힐링하고 푹자다가 왓습니다초반 잼 중반 그럭저럭 후반 코~~하고왔습니다,1,21,9,2017-06-04 18:17:00,0
186,dogsss(hajo****),1점도아까워요 파워레인저 어른버전..정말 애니메이션어른버전,1,21,9,2017-06-04 03:29:00,0
187,난 천재(rkdd****),DC는 이제 완전 망했군 ㅉㅉ,1,22,10,2017-06-03 09:50:00,0
188,02cu****,고의적으로 평점 내리는 이들때문에 10점 주고들어감 예매완료,10,23,11,2017-05-31 09:57:00,0
189,Walt3(walt****),원더우먼의 휴머니즘이 느껴진다.,10,25,13,2017-05-31 15:24:00,관람객
190,유림축(cjsa****),졸잼.이두마디면되는데열자제한에러..,10,25,13,2017-05-31 14:04:00,0
191,위보기아래보기(hyun****),뭐이딴 그지같은영화가 재밌다고 빨아대냐 여기 디씨빠만잇냐,1,13,2,2017-06-15 19:49:00,0
192,bhll****,진짜 영화 본인간들이면 베플이 저따구일리가 없다.궁금하면 직접 가서 보시길근데 제발 다크나이트랑 비교하지마 급이달라,5,13,2,2017-06-03 11:52:00,0
193,하내(badu****),감독 바꿔라 그럼 2탄 안본다. 액션은 거의없고  주디만 2시간을 터네.,1,14,3,2017-06-18 15:09:00,0
194,울랄라흥(sayz****),원더우먼역에 정말 잘 어울리네요..,10,15,4,2017-06-01 23:57:00,관람객
195,faf43526dv(dnja****),배댓슈보다 더욱더 볼만했군,9,15,4,2017-06-01 00:04:00,관람객
196,군림천하(bigr****),와 여주 액션 지리네 팔레스타인 공습하는 기분으로 촬영한듯ㅉㅉ,1,16,5,2017-06-19 02:56:00,0
197,어벙벙(jwm9****),여성 히어로 멋있당  죽인당,9,16,5,2017-06-01 07:24:00,관람객
198,코코아(inho****),처음엔 유치하다 생각했는데 볼수록 볼만했어요~,9,17,6,2017-06-01 00:02:00,관람객
199,롤(heal****),와 엄청재밌네요 별기대안했는데,10,18,7,2017-06-01 08:54:00,관람객
200,wlsf****,반할거같다 진차볼만함,10,19,8,2017-05-31 12:59:00,0
201,오리궁뎅이버섯(bswp****),드디어 DC가 부활하다,10,19,8,2017-05-31 08:49:00,0
202,finr****,후반부에 조금 오글거림이 있었지만 액션 멋지고 원더우먼 존예 디씨 저스티스리그도 이렇게 만들어줘요,9,20,9,2017-05-31 14:40:00,관람객
203,cadet28(shin****),올해 최고의 영화네요. 다음 영화가 벌써 기다려집니다.,10,22,11,2017-05-31 23:31:00,관람객
204,박봉곤(bg90****),"전쟁영웅 스티브,다이애나 짱짱피플",9,22,11,2017-05-31 12:51:00,관람객
205,Roy Kim(roy_****),다크나이트말곤 디씨꺼 도저히 못보겠던데 드디어 빤스입은 히어로물에도 재미를 느꼇다. 여주 캐스팅도 퍼펙트!!,10,10,0,2017-07-26 13:47:00,0
206,TRuck(joon****),원더우먼의 순수함이란 ㅋ,10,10,0,2017-07-15 14:43:00,관람객
207,일원(kin9****),남주가 솔직히 존멋이다.,8,10,0,2017-06-08 14:36:00,관람객
208,자두맛캔디(stee****),관전 포인트는 갤가돗의 미모!!!보너스 포인트는 테마곡.,10,10,0,2017-06-01 04:09:00,0
209,라스트(sixn****),이정도면 대박입니다 100%만족 연출 액션 느끼한 히어로 감성 까지 ㅋㅋ,10,10,0,2017-05-31 13:58:00,0
210,천상재회(woos****),독일군 전쟁 배경이라서 좀 어두운데 원더우먼과 남자 주인공의 로맨스는 돋보임.,8,11,1,2017-06-05 23:28:00,관람객
211,hwoa****,원더우먼을 위해태어난듯한 갤가돗~ 진짜 지립니다..액션신 완전 최고~~ 스토리도 괜찮고 dc가 이번에 제데로 일 냈어요,10,11,1,2017-06-04 01:38:00,관람객
