,nickname,text,score,like,dislike,time,watch_movie
483,쑤(khs9****),마블에 비하면 정말 한참 멀었네요 .ㅡ.ㅡ,1,8,3,2017-11-18 02:03:00,0
484,jung****,도입 OST는 너무 좋았지만... 그치만..유치해서 손발이 오그라들어요,2,8,3,2017-11-18 00:10:00,관람객
485,ruda****,잭스나이더는 양심이 있으면 히어로 영화에서 손때라. 이거 뭐 개연성이 적당히 없어야지. 예전처럼 300같은 영화나 만들어라.,1,8,3,2017-11-17 18:14:00,0
486,Yohan(mi16****),마블에는 없는 재미였어요 재미썽,10,8,3,2017-11-17 16:05:00,0
487,중요한건(ljmn****),마블에 익숙해서 기대안했는데  마블에서 못느낀재미가 짱이네.,10,8,3,2017-11-17 15:57:00,0
488,루카망고(fant****),DC팬이니까 10점줬다.근데 특히 플래시 팬인데 배리가 왜 이리 흐느적대냐. 맘에 안들어. 그리고 슈트도 별로고 플래시 능력도 아직 덜 개발된 듯. 암튼 다음은 저스티스리그vs인저스티스겠네. 브레이니악 예상해봄,10,8,3,2017-11-17 15:21:00,0
489,libe****,골치 안아프고 그냥 재밌게 봤음,10,8,3,2017-11-17 15:18:00,0
490,알론조(mabi****),그저 디씨라고 유독 박한 리뷰들이 많은 거 같다. 대작까진 아니지만 충분히 평작 이상은 되는 영화,10,8,3,2017-11-17 14:57:00,0
491,그멀(putr****),내 오랜 영웅들을 한 자리에 모아 놓은 것만으로도 감격스럽네요!!,10,8,3,2017-11-17 14:53:00,0
492,박지아(piao****),넘 재미나게 밧어욤^^,10,8,3,2017-11-16 22:59:00,0
493,Freedom(gomp****),영웅들간의 케미는 좋으나 스토리 연계나 악역에 대한 부족함이 보인다,8,8,3,2017-11-16 16:46:00,관람객
494,음유시인(swee****),"기대치를 최고조로 놓는다면 분명 아쉽지만, 우려가 바닥이었다면 진심 괜찮다. 짧은 러닝타임 동안 많은 갈등요소를 극복하려고 순식간에 급변하는 상황이 당황스럽긴 하지만, 액션과 캐릭터는 진심 훌륭",9,8,3,2017-11-16 14:37:00,0
495,마시마로(rokk****),오늘도 원더우먼은 이뻤다.,10,8,3,2017-11-16 13:26:00,0
496,thjt****,이전 영화들은 망했지만 그 안에서 쌓아놨던 캐릭터의 이미지란게 있었는데 마블의 유머를 뒤늦게 따라간 바람에 디씨가 기존에 가지고 있던 캐릭터들의 무게감이 부숴진 느낌... 팬이라서 기대했는데 느금마사보다 더 절망했어...,6,8,3,2017-11-16 09:01:00,0
497,옵션컨트롤(bms8****),DC의 부활을 알리는 영화!,10,8,3,2017-11-15 14:07:00,0
498,최다은(kawa****),19년 인생에서 가장재미없었던 영화살면서 단한번 시간을 되돌릴 수 있다면 저스티스리그를 보지 않았을것이다..,1,9,4,2017-11-24 21:45:00,0
499,박지현(qkrw****),내가 본영화 중에 제일 유치하고 재미없고 2시간 낭비한것같다.,1,9,4,2017-11-24 00:25:00,0
500,이재철(ipcs****),와 진짜 애들영화임 보지마세용,1,9,4,2017-11-21 20:13:00,관람객
501,이여신(sanz****),1점도 아까워.. 내 돈 내놔... 개유치하고 딱 독수리 오형제 수준,1,9,4,2017-11-17 17:50:00,0
502,몽쉘통통(nbak****),"엑소 (Do)빠순이들 1점 테러하지마라, 차라리 7호실 가서 10점줘라",10,9,4,2017-11-17 14:22:00,0
