,nickname,text,score,like,dislike,time,watch_movie
99,Style(myjj****),좀전까지 '얘들 누구야?' 그래놓고 얘네들이 빛을 무서워한다는건 어디서 들은건지... 이런식으르 내용의 연계성이 없어 보는 내내 불편했다.관객들을 웃겨줄려면 확실하게 웃겨 주던지 그게 아니라면 완전 진...,1,127,94,2018-12-26 07:02:00,0
100,배서희(seoh****),엠버허드가 엄청이쁘다,10,42,10,2018-12-19 20:03:00,0
101,김미르(acea****),아빠때매 눈물흘림 ㅜㅜ 참 재밌게 봤어요 니콜키드먼 늙지도 않아 ㅜㅜ 여주 겁나이쁨 롤에 나오는 빨간머리 캐릭터닮음 ㅎㅎ아쉬운점은  흑인 악당 위협적이지않고 발연기같음 ㅋㅋ,10,39,8,2018-12-21 10:03:00,0
102,Global(prol****),난 마블 히어로들을 2시간 20분간 완전히 잊었었다.- IMAX 3D로 보시길 강력추천,10,42,11,2018-12-20 15:04:00,0
103,oskk****,안본사람들은 모름....직접가서보시면..후덜덜,10,43,12,2018-12-20 14:22:00,0
104,MIN_(i_do****),최애 캐릭터 등극!!! 아이맥스보다 포디엑스 완전 추천 입니다ㅎㅎㅎ,10,45,14,2018-12-19 20:02:00,0
105,김깔라(kimh****),개꿀잼 꼭 보세요 ㅎㅎㅎ,10,46,15,2018-12-19 19:26:00,0
106,KuMo(kumo****),"완님 제작 맡아줘서 고마워요 ㅠ오리지널 슈트도 멋지게 살려줘서 심장터져ㅠ완벽한 스토리라고 보긴 힘들겠지만 영혼갈아넣은cg와 액션,영상미,ost까지 멋지게 뽑아낸듯.저리때 떨어진 호흡기 갓동님이 다시 달아줌(모모아등근...",10,43,13,2018-12-19 20:22:00,0
107,할수있다7(shck****),그냥말이 필요없습니다 그냥보세요^^,10,45,15,2018-12-19 19:30:00,0
108,코발트블랙(pnbw****),영상미+엠버허드가 8점 다함.그리고 평점 알바가 있다는것도 알게됨..,8,36,7,2018-12-19 21:40:00,0
109,hjsr****,볼거리 풍족하고 재밌었음아쿠아맨 멋지고 메라 비현적인 미모 실화? 나 여잔데 엠버허드한테 반함,10,38,10,2018-12-19 12:49:00,0
110,rokettt(aktn****),제임스완이 모든걸 넣었다 자신만의 공포색깔이랑 액션이랑 모두 즐겼다... 고맙다 너가 해냈다...,9,39,11,2018-12-19 12:53:00,0
111,zoom****,"한국 사람들 진짜  못된사람 많구나  , 마약왕 보게하려고 평점 ㅌ러알바가 있다니 ..;;;해외영화라고 까고보는 아ㄹ바 들 소름돋았습니다 ㅁ ㅏ야 ㄱ 와 ㅇ 보고왔지만 진짜 시간낭비 돈낭비 이건 10번도 볼수있음 가...",10,48,20,2018-12-20 13:14:00,0
112,뽀잉이(glgl****),이런 배우들로 어떻게 파워레인저를 찍을수가있음? 사막에서 인디아나존스 흉내도 내야되고 해리포터 인어도 나와야되고 대게군단도 나와야되고 블랙만타(헬멧꼭검색하셈) 개뜬금없이 나와서 줄거리 읊어주고 이태리 관광도 해야되고...,2,51,23,2019-01-03 21:27:00,0
113,submarine(vela****),내용없고 유치합니다 스토리 이런거 안보고 단순히 눈뽕에 취하고 싶으면 보세요..솔직히 유아용입니다,3,52,24,2018-12-31 08:46:00,0
114,김민재(pon8****),스토리 ㅈㄴ뻔하고 유치해도 비주얼이 모든걸 해결하네 ㅋㅋㅋㅋ 배대슈는 비쥬얼 좋아도 용서가 안됐는데 이건 눈뽕이 너무 차올라서 용서가됨 ㅋㅋ 워너는 완감독한테 큰절해라 디시 영화중 역대급으로 뽑아내셨다,10,35,8,2018-12-19 19:09:00,0
115,포이즌쨈(joyj****),물맨붐은 온다....,10,37,10,2018-12-19 20:04:00,0
116,유현성(hyun****),해냇다 드디어 디씨의부활,10,37,10,2018-12-19 17:10:00,0
117,HOTEL(kisu****),DC의 희망이다 존나 재밌다,10,38,11,2018-12-19 20:39:00,0
118,어쩌라고뭐(wlsd****),재밌었어요~~~~ 물속을 자유자재로 다니는거 넘 부럽 ㅋㅋㅋ쿠키영상으로 2가 나올거라는 느낌 퐉~!!아서 멋짐 멋짐~~,10,41,14,2018-12-19 13:32:00,0
119,조효웅(gydn****),마지막 전투 역대급!!!!,9,44,17,2018-12-19 19:38:00,0
120,마법사(mung****),이번꺼는 괜찮네요 안그래도 영화볼꺼 없었는데 !,10,33,7,2018-12-19 18:34:00,0
121,egga(gagu****),개꿀잼임 물고기 파닥파닥,10,35,9,2018-12-20 15:26:00,0
122,이규웅(cine****),DC 드디어 정신차리다.  역대 DC 영화중  최고작품 확실!,9,35,9,2018-12-19 18:58:00,0
123,JH(zizi****),이야... 보길 잘했다,10,35,9,2018-12-19 18:02:00,0
124,원민기기(mink****),DC가 드디어 정신을 차렸다! 라고 생각하시는 분은 추천!DC가 아직도 정신 못차렸다! 라고 생각하시는 분은 비추! 눌러주십시요.,10,36,10,2018-12-22 17:22:00,0
125,아이즈원(jeon****),"내 기준으로는 재미있게 본듯, 근데 1점 준 사람은 도대체 어떻게 보는거야;;",10,39,13,2018-12-19 12:10:00,0
126,valis(rnsw****),오랜만에 DC에서 영화 제대로 만들었네유머코드도 억지스럽지 않고 잘 녹아들었고이게 기대치 최저에서 봐서 그런진 몰라도 잘만든거 같다,9,31,6,2018-12-19 18:48:00,관람객
127,김정욱(wjdd****),액션신 나올때마다 몸이 찌릿찌릿했음~ ㅎㅎ액션이랑 볼거리는 최고인듯 가끔 cg어색한것도 좀 있는데 못볼수준은 아님,8,34,9,2018-12-19 20:01:00,0
128,캐릭터바이러스(jbra****),DC는 엄마를 왜이렇게 좋아하냐?,5,66,41,2018-12-20 00:12:00,0
129,응가똥(wown****),남자 섹시하고 여자 개이쁩니다,10,28,4,2018-12-23 10:51:00,0
130,낙찰(fodl****),다시 보고 싶을 정도로 재밌었다,10,31,7,2018-12-20 15:12:00,0
131,Jh River(pair****),갑분싸 장면만 좀 수정하면 DC도 떡상 각 보이는데.. DC 버젼 토르 느낌 많이 들었음. 특히 다리 장면에서,7,31,7,2018-12-19 21:50:00,0
132,은재형(skyh****),히어로물중에 난 가장 재밌었음,10,33,9,2018-12-19 19:12:00,0
133,ㅇㅇ(yous****),미친 졸라 재밌는거 실화냐,10,34,10,2018-12-19 23:08:00,0
134,신조아(joas****),오랜만에 보는 SF인가 ㅠㅠ 목말랏는데 시원하게 적셔주네,10,34,10,2018-12-19 20:00:00,0
135,아자아자아자(moku****),대에박....아바타를 처음봤을때 감동임... 후덜덜,10,35,11,2018-12-19 17:27:00,0
136,블랙펄(xodn****),댓글알바에 쓴 비용이 cg처리에 쓴 비용보다 높을수도,2,40,16,2019-01-03 20:44:00,0
137,사류작가(kkl0****),니콜키드만 아들이 수협회장(오션 마스터) 되는 이야기,8,30,7,2018-12-19 20:36:00,0
138,감이(y2k4****),좀 유치하지만.   멋진스케일 ...끝나고 계속 앉아있으세요 더나옵니다,8,31,8,2018-12-19 19:25:00,0
139,ghkd****,재밌다 메라 개이쁘다ㅎㅎ,8,23,1,2018-12-23 02:17:00,관람객
140,이우석(dldn****),"마블은 좀 더 인간적인 모습의 영웅을 그렸다면, 이번 아쿠아맨 영화에서는 영웅이 존재한다면 이런 모습이 아닐까라는 상상을 화려하게 색칠한것 같다.",10,29,7,2018-12-20 00:30:00,관람객
141,MIJIN(dlal****),아믿고보는 제임스완 진짜 공포도 딱 내취향인데 히로영화도 내취향으로 ㅠㅠ꼭보세요 진짜 또보러가야할듯 그나저나 옴아저씨가 인시디어스 아부지라니...ㅋㅋㅋ상상도못한정체다,10,29,7,2018-12-19 19:25:00,0
142,냐옹선생(chic****),cg 장난아니고 액션씬 볼만하고 여주인공 매력적이고 게다가 음악도 좋다 그런데 스토리가 유치 ;; 그리고 주인공은 프로레슬러 같음. 아깝다 저런 기술력으로 저런 이야기밖에 못만들다니....,7,30,8,2018-12-20 00:01:00,0
143,wjdt****,하..여러분..진심안보면 2018 년도후회하십니다저평점처음 남겨보는데 진심 진심 꼭보세요 진짜 최고다..와ㅋㅋ이거보고후회하는사람없습니다 최고,10,31,9,2018-12-20 12:13:00,0
144,영맨(joon****),그냥 겁나 재밌음. 꼭 보셈,10,32,10,2018-12-19 16:02:00,0
145,포스(joon****),엄청난 스케일의 볼거리. 어쩌면 이건 통할 것 같다는 생각이 든다.,10,36,14,2018-12-19 11:23:00,관람객
146,쭈니별(zing****),올해 최고영화!!!   스트레스 확 풀림,10,23,2,2018-12-23 02:38:00,0
147,필립(peac****),빨간머리 이렇게 잘 어울리는 배우는 처음봄...ㅋㅋ,8,25,4,2018-12-23 10:51:00,0
148,꾸우(kimd****),비주얼 끝판급 진짜 재밌게 봤음 그리고 메라갓,10,27,6,2018-12-19 20:17:00,0
149,재(jin5****),제임스완이 살리긴 뭘 살려. 제임스완 영화들 전개 뜬금 없어서 감안하고 봤는데 이건 심각하지 않냐? 정신 연령 12세 이하들이나 좋아할 듯. 영상은 게임이냐? 바닷속 인물들 모션 캡쳐 안했는지 무브도 어색하고 형광펜...,1,31,10,2019-01-11 13:02:00,0
150,형은(ggud****),DC치고 나쁘지 않은..,7,37,16,2018-12-19 19:23:00,0
151,lime****,재밌게 잘봤습니다. 마블이랑  다른느낌,10,26,6,2018-12-19 18:19:00,0
152,제브(vydf****),아쿠아맨 생각만큼 재미있게봤어요.그래픽도 화려하고 진짜 시간 가는줄 모르고 봤어요,10,28,8,2018-12-20 01:13:00,관람객
153,선생(yys4****),역대급. 초절정 미녀 여주인공 두명 간지나는 히어로 엄청난 영상미. 배트맨 슈퍼맨처럼 진지빠는 것도 아니고 적당한 유쾌함도 있으며 화려한 괴수들과 적당한 능력치의 히어로. 실제 그리스로마 신화와 바다로 가라앉은틸란티...,10,28,8,2018-12-19 20:15:00,0
154,안녕(rody****),난 졸잼이었다. 다른 DC영화는 몰라도 아쿠아맨은 마블과 비교해도 꿀리지 않는다. 그리고 전투신 만큼은 리얼 최고;;; DC영웅 하나면 타노스랑 혼자 1:1 가능할듯;;,10,29,9,2018-12-20 01:22:00,0
155,슈퍼에디(envy****),말이 필요없다 다 재밌슴,10,31,11,2018-12-19 16:06:00,0
156,지나종민(jiji****),요 몇달 새에 본 영화중 가장 볼거리 많고 재미있었습니다. 강추 합니다.,10,23,4,2018-12-21 15:07:00,0
157,지난(aldu****),"상남자  짱, 메라의 재발견. 스토리는 고전적인 뻔한 전개지만 히어로물 중에서 수중물은 없었고,  큰 영화관 스크린으로 즐기기에는 충분했다.",10,23,4,2018-12-20 14:24:00,0
158,멤피(mes5****),어벤져스 2보단 좋았음,10,24,5,2018-12-23 22:06:00,0
159,써치라이트(anag****),"아이맥스 3D로 보세요, 정말 새로운 세상을 구현했네요. 스토리는  일부 설정이 엉성하지만, 다른 영화도 그 정도 설정 오류는 있는 듯 싶어요. 전 정말 재밌게 봤습니다.",9,24,5,2018-12-21 14:53:00,0
160,qqq(clxh****),내용이 너무 유치해서 그저 그랬다..,6,25,6,2019-01-03 22:05:00,관람객
161,hyun0420(ru_d****),판타지 보다가 울었음 ㅠㅜ,10,26,7,2018-12-21 14:57:00,0
162,cherry blossoms(whgo****),크리미갈릭핫도그소스 흘리고 있는줄 모르고 먹으면서 봤어요 ...재밌습니다!,10,26,7,2018-12-19 19:24:00,0
163,허브유(herb****),진짜 재밌어요 솔직히 원더우먼은 기대 이하였는데 아쿠아맨 진짜 최곱니다 안 보고 함부로 판단하지 마세요,10,27,8,2018-12-19 20:17:00,0
164,인간(alst****),아바타 이후로 눈정화 는 오랜만이다.,10,28,9,2018-12-19 18:41:00,0
165,마카로니(wsn5****),진짜 기대 안하고 봤는데 여주도 이쁘고 음악도 지리고 스케일은 또 얼마나 큰지 ...ㄷㄷ 액션씬도 대박임 말그대로 꿀잼 ㅎㅎ,10,29,10,2018-12-20 00:27:00,관람객
166,다우림(zndk****),뛰어난 영상미와 볼거리!! 액션도 굳!!작정하고 감독의 창의력을 팍팍 밀어준 DC수뇌부에 심심한 감사를..,10,21,3,2018-12-21 10:37:00,0
167,그리다(ehyu****),시간이 안 느껴질 정도!!,10,22,4,2018-12-21 07:51:00,0
168,우디(woul****),내용은 솔직히 그냥 전형적인 히어로물영상미 CG가 매우 좋음DC 영화 통틀어 그냥 가장 볼만함이딴거 제쳐두고서라도 엠버허드 보러가는건만해도 10점임,10,22,4,2018-12-20 15:20:00,0
169,Flawlex(flaw****),예산 많이 든 백터맨 보는 느낌,1,23,5,2019-01-03 21:55:00,0
170,달려보자(kimd****),재밌네요 ㅋ 지루하지 않게 잘봤습니다.중간중간 재밌는요소도 많고 볼거리가 많네요,10,23,5,2018-12-19 18:47:00,0
171,사바하(june****),무슨 마약왕과 비교를 하냐~존나 재밌게 봤다!! 아쿠아맨 코스튬과 삼지창을 얻게되는 과정을 잘 보여준것같다..그리고!!!!. 마지막 스틸샷 존나 멋짐!!,10,24,6,2018-12-20 12:09:00,0
172,jbg2****,와 영상미 아바타이후 역대급이였다 알바새기들넘쳐나는 마약왕안본것이  신의한수였다  평점 9점대로올리자  dc판 토르보는줄알았다 아주깔끔한 히어로물이였다,10,28,10,2018-12-19 23:53:00,0
173,Mr 몽블랑(dooo****),"이번에도 어머니로 대동 단결하는 DC 영화다.다만, 액션씬과 대규모 전투씬 등 볼거리가 풍성하기 때문에아이맥스 3D 로 보는 것을 권장.앰버 허드는 존예보스,제이슨 모모아 눈빛 지림 주의 (특히 삼지창 획득하고 폭포...",8,18,1,2018-12-21 17:57:00,0
174,모사모사모사(hors****),영화티켓값이 아깝지 않은 영화였습니다!,10,20,3,2018-12-23 02:26:00,관람객
175,별명(flye****),눈한번 깜짝였는데 영화끝났네요 짱재밌음,10,21,4,2018-12-21 07:37:00,0
176,hanm****,DC 시리즈중 역대급 인듯.2시간 20분이 어찌 지나가는지 몰랐음.볼것이 너무 풍성했고 남여 주인공 간에 코믹대화도 괜찮았고 특히 장면마다 효과음을 굉장히 잘 나타낸듯. 꼭 보세요. 후회 없을듯.4DX로 봐도 재미있...,10,21,4,2018-12-21 07:22:00,0
177,ojl2****,이런 cg는진짜 역대급이다처음에아쿠아맨이라구해서진짜유치할줄알았는데 진짜아쿠아리움실제가서보는것보다훨씬났다 그리고여주인공은가히 너무이쁘다 아쿠아맨몸도엄청좋고 카리스마가느껴진다 그리고환경과 인간의무자비한 잔인성도느껴진다교...,10,21,4,2018-12-21 07:01:00,0
178,정지은(ccmj****),딱 초등학교 남자아이들 수준 영화,1,22,5,2019-01-01 22:16:00,0
179,이재이씨(i_ej****),마블에 넘 눈이 높아졌나캐릭터의 깊이도 줄거리의 개연성도 부족한데정신없는 액션만 과한 영화2편은 안본다 ㅠ,4,25,8,2018-12-31 08:37:00,0
180,난천재(akzk****),완동님 사랑합니다 ㅠㅠ,10,25,8,2018-12-19 19:26:00,0
181,lees****,DC가 CG했다 쿠키영상있대요 꼭 보고오세요,10,25,8,2018-12-19 10:03:00,0
182,주희(rlaw****),재밌었어요 문어가 북치는게 제일 웃김ㅋㅋㅋ,10,17,1,2018-12-30 13:04:00,0
183,geen****,아이들과 봤는데 어른인저도 재미있게 봤어요,10,17,1,2018-12-23 21:55:00,관람객
184,임수빈(ppp1****),퀄리티 오지고요 두시간 넘게 하는줄모르고 봤는데 두시간 넘게 걸린줄 모르고 끝났습니다. 제발 봐주세요! 너무뻔하지도 않고 액션 위주로 나와서 정말 재밌습니다. 개인적으로 주인공 캐릭터가 적당히 코미디도 있어서 지루할...,10,18,2,2018-12-26 14:52:00,관람객
185,gusd****,너무 재밌게 잘봤습니다 아이들과 또 보고싶네요 강추합니다 최고에요,10,19,3,2018-12-24 13:14:00,관람객
186,한결(kook****),와... 디씨 영화맞아? 황홀했다...,10,21,5,2018-12-23 01:41:00,관람객
187,다알(taey****),진짜 너무 재밌고 아쿠아리움 갈 바에 이 영화 보는 것을 추천할 정도로 영상미 오지고 메라 엄청 이쁘고.. 암튼 추천입니다ㅋㅋ 개인적으로 올해 가기 전에 꼭 봐야할 작품,10,21,5,2018-12-20 12:14:00,0
188,주니(gusw****),원더우먼과 아쿠아맨은 dc의 구세주가 됐다.,8,22,6,2018-12-23 10:47:00,0
189,gksx****,퍼시픽림 잼있게 보셨던 분들은 보셔도 좋은듯스케일크고 전투신 화려한데 유치오글ㅋㅋ 그래도 액션신만큼은 제작진의 노력이 보인다는,7,22,6,2018-12-21 07:50:00,0
190,또진(thwl****),헐~♡ 너무재밋엇어요!!♡,10,22,6,2018-12-19 20:39:00,0
191,난나야(sold****),"재밌어요. 스토리는 뻔하지만, 영상미 몰입감 좋습니다.",10,23,7,2018-12-19 19:32:00,0
192,스말맨(smil****),스토리보다 볼꺼리가 많은 영화네요~기대보다 잼나는 영화,9,16,1,2018-12-26 19:56:00,관람객
193,황은지(eunj****),진짜 사운드도 너무 좋고 배경도 수족관온듯 신기하고 예쁘고 재밌고 깜짝놀라게하는 장면도 재밋고  놀이기구타는것처럼 재밌었음,10,16,1,2018-12-26 19:56:00,0
194,맛있는쓰레기(ph22****),눈깔 괴물말곤 다 궨찮았는데... 솔직히 소름돋으면서 봄 개꿀잼이었는데 특히 메라가 이뻤음,10,16,1,2018-12-25 21:30:00,0
195,강선모(asdn****),10점 잘안주는데 이거 10점짜리입니다.4D로봤는데 더 재밌어요,10,17,2,2018-12-23 02:59:00,0
196,다호선(qwq1****),엠버허드  존나 예쁘다  나는 오늘부터 내 머리속 생각하는서양인중에서 졸라이쁘고 매혹적인 배우로 엠버허드를  뽑을꺼다,10,18,3,2018-12-28 01:55:00,관람객
197,area(rang****),연출도 멋있고 전체적으로 비쥬얼폭발. 눈요기 너무 좋았음..그리고 엠버허드 너무 예쁘고 멋있게 나옴,9,18,3,2018-12-25 05:54:00,0
198,Johee(qkr3****),솔직히 진심 핵잼이다 최소 500만간다,10,18,3,2018-12-23 21:59:00,0
